Code,Standard,Strand,Grade Band,Clarification
DEMO-1.A.1,Put a list of items in order and describe the rule used.,Algorithms,9-12,
DEMO-1.A.2,Compare two ways of ordering a list and justify a choice.,Algorithms,9-12,Students should weigh at least two criteria.
DEMO-1.B.0,Design and test a set of steps.,Algorithms,9-12,Heading only. Rated from the standards beneath it.
DEMO-1.B.1,Write a rule that chooses between two outcomes.,Algorithms,9-12,
DEMO-1.B.2,Trace a set of steps and predict the result.,Algorithms,9-12,
DEMO-2.A.1,Collect a small set of data and record it.,Data,9-12,
DEMO-2.A.2,Clean a data set and explain what was removed.,Data,9-12,
DEMO-2.A.3,Present a data set so another person can read it.,Data,9-12,
DEMO-3.A.1,Evaluate the effect of a computing choice on a group of people.,Impacts,9-12,Students must record a position and defend it.
DEMO-3.A.2,Describe a law or rule that governs the use of data.,Impacts,9-12,
DEMO-3.A.3,Explain how a computing system changes the work people do.,Impacts,9-12,
DEMO-4.A.1,Complete forty hours of supervised work experience in an industry setting.,Program Requirements,9-12,
DEMO-5.A.1,Configure a small network and document the addresses used.,Networks,9-12,
DEMO-5.A.2,Diagnose a fault in a wired connection.,Networks,9-12,
